id,name,country,population_size,age,status,academic_reputation_score,academic_reputation_rank,employer_reputation_score,employer_reputation_rank,faculty_student_score,faculty_student_rank,citation_score,citation_rank,international_faculty_score,international_faculty_rank,international_student_score,international_student_rank,overall_score,city,region,cost_of_living_index,international_student_percentage,field_of_study,subject,program_name,min_IELTS,min_TOEFL,min_GPA,campus_setting,offer_work_study_program,average_tuition_fee,offer_airport_pickup,acceptance_rate
1,AUCKLAND UNIVERSITY OF TECHNOLOGY,New Zealand,L,6,A,17.5,469,25.4,383,17.5,600,14.6,600,99.6,61,99.9,23,25.2,Auckland,ANZ,76.06,0.42,Business & Management Studies,Accounting & Finance,Bachelor of Business (Accounting),6,,no minimum,Suburban,1,33334,,
2,AUCKLAND UNIVERSITY OF TECHNOLOGY,New Zealand,L,7,A,17.5,469,25.4,383,17.5,600,15.6,600,99.6,61,99.9,23,25.2,Auckland,ANZ,76.06,0.42,Business & Management Studies,Business Study,Bachelor of Business ,6,,no minimum,Suburban,1,33335,,
3,AUCKLAND UNIVERSITY OF TECHNOLOGY,New Zealand,L,5,A,17.5,469,25.4,383,17.5,600,13.6,600,99.6,61,99.9,23,25.2,Auckland,ANZ,76.06,0.42,Engineering,Civil & Structure Engineering,Bachelor of Engineering Technology (Building Engineering),6,,no minimum,Suburban,1,33333,,
4,AUCKLAND UNIVERSITY OF TECHNOLOGY,New Zealand,L,3,A,17.5,469,25.4,383,17.5,600,11.6,600,99.6,61,99.9,23,25.2,Auckland,ANZ,76.06,0.42,Engineering,Computer Science,Bachelor of Computer and Information Sciences (Computer Science Major),6,,no minimum,Suburban,1,33331,,
5,AUCKLAND UNIVERSITY OF TECHNOLOGY,New Zealand,L,8,A,17.5,469,25.4,383,17.5,600,16.6,600,99.6,61,99.9,23,25.2,Auckland,ANZ,76.06,0.42,Arts & Social Science,Economics & Econometrics,Bachelor of Arts (Economics),6,,no minimum,Suburban,1,33336,,
6,AUCKLAND UNIVERSITY OF TECHNOLOGY,New Zealand,L,2,A,17.5,469,25.4,383,17.5,600,10.6,600,99.6,61,99.9,23,25.2,Auckland,ANZ,76.06,0.42,Arts & Design,Graphic Design,Bachelor of Visual Arts,6,,no minimum,Suburban,1,33330,,
7,AUCKLAND UNIVERSITY OF TECHNOLOGY,New Zealand,L,10,A,17.5,469,25.4,383,17.5,600,18.6,600,99.6,61,99.9,23,25.2,Auckland,ANZ,76.06,0.42,Arts & Social Sciences,Law,Bacgelor of Laws,6.5,,no minimum,Suburban,1,33338,,
8,AUCKLAND UNIVERSITY OF TECHNOLOGY,New Zealand,L,9,A,17.5,469,25.4,383,17.5,600,17.6,600,99.6,61,99.9,23,25.2,Auckland,ANZ,76.06,0.42,Arts & Social Sciences,Linguistics,Bachelor of Arts (International Studies),6.5,,no minimum,Suburban,1,33337,,
9,AUCKLAND UNIVERSITY OF TECHNOLOGY,New Zealand,L,4,A,17.5,469,25.4,383,17.5,600,12.6,600,99.6,61,99.9,23,25.2,Auckland,ANZ,76.06,0.42,Engineering,Machanical Engineering,Bachelor of Engineering Technology (Machanical Engineering major),6,,no minimum,Suburban,1,33332,,
10,MASSEY UNIVERSITY,New Zealand,L,5,A,27.3,309,28.9,339,18.7,600,24.9,479,98.8,79,89.1,110,32,Palmerston North,ANZ,70.47,0.29,Business & Management Studies,Accounting & Finance,Bachelor of Business (Accountancy),6,,no minimum,Suburban,1,31780,,
11,MASSEY UNIVERSITY,New Zealand,L,6,A,27.3,309,28.9,339,18.7,600,24.9,479,98.8,79,89.1,110,32,Palmerston North,ANZ,70.47,0.29,Business & Management Studies,Accounting & Finance,Bachelor of Business (Finance),6,,no minimum,Suburban,1,31780,,
12,MASSEY UNIVERSITY,New Zealand,L,4,A,27.3,309,28.9,339,18.7,600,24.9,479,98.8,79,89.1,110,32,Palmerston North,ANZ,70.47,0.29,Business & Management Studies,Business Study,Bachelor of Business,6,,no minimum,Suburban,1,31780,,
13,MASSEY UNIVERSITY,New Zealand,L,7,A,27.3,309,28.9,339,18.7,600,24.9,479,98.8,79,89.1,110,32,Palmerston North,ANZ,70.47,0.29,Arts & Social Science,Economics & Econometrics,Bachelor of Business (Economics),6,,no minimum,Suburban,1,31780,,
14,MASSEY UNIVERSITY,New Zealand,L,8,A,27.3,309,28.9,339,18.7,600,24.9,479,98.8,79,89.1,110,32,Palmerston North,ANZ,70.47,0.29,Arts & Design,Performing Arts,Bachelor of Commercial Music,6,,no minimum,Suburban,1,31780,,
15,MONASH UNIVERSITY,Australia,XL,8,A,86.7,51,93.1,40,15.3,600,65.9,122,100,45,99,39,70.4,Melbourne,ANZ,72.4,0.28,Engineering,Aeronautical Engineering,Bachelor of Engineering (Honors) in Aerospace Engineering,6.5,79,no minimum,Urban,1,46000,,
16,MONASH UNIVERSITY,Australia,XL,6,A,86.7,51,93.1,40,15.3,600,65.9,122,100,45,99,39,70.4,Melbourne,ANZ,72.4,0.28,Arts & Design,Architecture,Bachelor of Architectural Design,6.5,79,no minimum,Urban,1,46000,,
17,MONASH UNIVERSITY,Australia,XL,9,A,86.7,51,93.1,40,15.3,600,65.9,122,100,45,99,39,70.4,Melbourne,ANZ,72.4,0.28,Engineering,Chemical Engineering,Bachelor of Engineering (Honors) in Chemical Engineering,6.5,79,no minimum,Urban,1,46000,,
18,MONASH UNIVERSITY,Australia,XL,11,A,86.7,51,93.1,40,15.3,600,65.9,122,100,45,99,39,70.4,Melbourne,ANZ,72.4,0.28,Engineering,Civil & Structure Engineering,Bachelor of Engineering (Honors) in Civil Engineering,6.5,79,no minimum,Urban,1,46000,,
19,MONASH UNIVERSITY,Australia,XL,5,A,86.7,51,93.1,40,15.3,600,65.9,122,100,45,99,39,70.4,Melbourne,ANZ,72.4,0.28,Arts & Design,Graphic Design,Bachelor of Design,6.5,79,no minimum,Urban,1,46000,,
20,MONASH UNIVERSITY,Australia,XL,4,A,86.7,51,93.1,40,15.3,600,65.9,122,100,45,99,39,70.4,Melbourne,ANZ,72.4,0.28,Arts & Social Sciences,Law,Bachelor of Laws (Honors),7,94,no minimum,Urban,1,46000,,
21,MONASH UNIVERSITY,Australia,XL,10,A,86.7,51,93.1,40,15.3,600,65.9,122,100,45,99,39,70.4,Melbourne,ANZ,72.4,0.28,Engineering,Machanical Engineering,Bachelor of Engineering (Honors) in Mechanical  Engineering,6.5,79,no minimum,Urban,1,46000,,
22,MONASH UNIVERSITY,Australia,XL,7,A,86.7,51,93.1,40,15.3,600,65.9,122,100,45,99,39,70.4,Melbourne,ANZ,72.4,0.28,Medicine,Medicine,Bachelor of Medical Science and Doctor of Medicine,7,94,no minimum,Urban,1,46000,,
