No,university_name,Country,population_size,focus,res,age,status,academic_reputation_score,academic_reputation_rank,employer_reputation_score,employer_reputation_rank,faculty_student_score,faculty_student_rank,citation_score,citation_rank,international_faculty_score,international_faculty_rank,international_student_score,international_student_rank,Overall Score,city,region,cost_of_living,international_student_percentage,historical_rating,attractions_rating,environment_rating,overall_climate,Field of Study,Subject,min_IETLTS,min_GPA,min_academic_degree,campus_setting,offer_work_study_program,accomodation,accommodation_type,average_tuition_fee,average_accommodation_fee,offer_scholarship,offer_airport_pickup,offer_tutoring,offer_student_buddy,acceptance_rate,passing_rate
,UNIVERSITY OF COPENHAGEN,Denmark,XL,FC,VH,5,A,67.2,87,47,183,99.9,21,28.8,443,91.6,154,28,447,63.5,COPENHAGEN,UK/Europe,,,76,90,,,,,,,,rural,,,,,,,,,,,
,TECHNICAL UNIVERSITY OF DENMARK,Denmark,M,FO,VH,5,A,27.8,303,30.4,320,99.9,22,69.6,102,99.3,72,79.4,150,57.1,Kongens Lyngby,UK/Europe,,,,,,,,,,,,urban,,,,,,,,,,,
,AARHUS UNIVERSITY,Denmark,L,FC,VH,4,A,49.6,150,48.6,175,51.5,298,50.7,228,85,189,23.7,478,50.7, ‎Aarhus,UK/Europe,,,,,,,,,,,,suburban,,,,,,,,,,,
,AALBORG UNIVERSITY,Denmark,L,FC,VH,3,A,17,479,34.4,279,43.9,354,33.5,377,75.7,221,39.7,351,31.6,Copenhagen,UK/Europe,,,,,,,,,,,,,,,,,,,,,,,
,ECOLE POLYTECHNIQUE,France,S,CO,VH,5,A,46.8,163,99.7,12,99.9,25,47.3,262,95.4,127,95.8,75,67.9,Palaiseau,UK/Europe,,,,,,,,,,,,,,,,,,,,,,,
,SORBONNE UNIVERSITY,France,XL,FC,VH,1,A,88.4,45,46.6,187,59.4,261,39.7,326,41.4,371,54.6,264,64.8,PARIS,UK/Europe,,,,,,,,,,,,,,,,,,,,,,,
,UNIVERSITY OF OSLO,Norway,L,FC,VH,5,A,49.2,151,26.1,373,69.9,198,47.8,253,82.6,199,36.5,375,51.9,OSLO,UK/Europe,,,,,,,,,,,,,,,,,,,,,,,
,UNIVERSITY OF BERGEN,Norway,M,FC,VH,4,A,30.8,261,11,501+,81,146,59.8,163,88.1,175,14.5,601+,46.8,BERGEN,UK/Europe,,,,,,,,,,,,,,,,,,,,,,,
,UNIVERSITY OF ZURICH,Switzerland,L,FC,VH,5,A,55.6,130,70.8,96,99,44,31.8,410,100,46,59.2,247,63.6,ZURICH,UK/Europe,,,,,,,,,,,,,,,,,,,,,,,
,UNIVERSITY OF GENEVA,Switzerland,L,FC,VH,5,A,48,157,27.8,353,56.9,274,75,79,100,34,98.6,47,58.4,GENEVA,UK/Europe,,,,,,,,,,,,,,,,,,,,,,,
,UNIVERSITY OF BRISTOL,United Kingdom,L,FC,VH,5,A,75.6,72,89.4,50,75.9,170,63.8,130,84.4,193,66.4,212,74.9,BRISTOL,UK/Europe,,,,,,,,,,,,,,,,,,,,,,,
,THE UNIVERSITY OF WARWICK,United Kingdom,L,FC,VH,4,A,73.8,74,96.1,29,62.4,236,56.1,189,98.4,91,99.3,37,72.9,Coventry,UK/Europe,,,,,,,,,,,,,,,,,,,,,,,
,UNIVERSITY OF GLASGOW,United Kingdom,L,FC,VH,5,A,70.4,80,59.6,127,60.7,250,57.2,180,94.3,134,96.7,68,67.4,glasgow,UK/Europe,,,,,,,,,,,,,,,,,,,,,,,
,DURHAM UNIVERSITY,United Kingdom,L,FC,VH,5,A,57.1,122,94.1,33,38,404,82.5,57,95.5,125,87.5,117,65.7,DURHAM,UK/Europe,,,,,,,,,,,,,,,,,,,,,,,
,THE UNIVERSITY OF SHEFFIELD,United Kingdom,L,FC,VH,5,A,61,109,64.1,113,64.5,227,58.8,171,88.9,173,94.2,85,64.8,Sheffield,UK/Europe,,,,,,,,,,,,,,,,,,,,,,,
,"KTH, ROYAL INSTITUTE OF TECHNOLOGY",Sweden,L,CO,VH,5,A,45.5,170,69.5,101,60.5,253,75.2,78,95.1,131,42.6,331,59.3,Stockholm,UK/Europe,,,,,,,,,,,,,,,,,,,,,,,
,UPPSALA UNIVERSITY,Sweden,L,FC,VH,5,A,63.3,101,37.1,250,47.3,325,58.9,169,62.2,278,45.3,311,55.8,UPPSALA,UK/Europe,,,,,,,,,,,,,,,,,,,,,,,
,CHALMERS UNIVERSITY OF TECHNOLOGY,Sweden,M,CO,VH,5,B,28.8,290,67.3,105,69.4,201,69,106,94,135,56.1,257,53.6,Gothenburg,UK/Europe,,,,,,,,,,,,,,,,,,,,,,,
,STOCKHOLM UNIVERSITY,Sweden,L,CO,VH,5,A,51.8,143,20.3,460,29.5,506,51.6,218,78.7,211,17.5,554,43.9,STOCKHOLM,UK/Europe,,,,,,,,,,,,,,,,,,,,,,,
,STOCKHOLM UNIVERSITY,Sweden,L,CO,VH,5,A,51.8,143,20.3,460,29.5,506,51.6,218,78.7,211,17.5,554,43.9,STOCKHOLM,UK/Europe,,,,,,,,,,,,,,,,,,,,,,,
